from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Bristol,Bristol,United Kingdom,-2.532,51.637,Zurich,Zurich,Switzerland,8.915,47.774,Helvetic Airways,Switzerland,927
Edinburgh,Edinburgh,United Kingdom,-2.955,56.583,Koln Bonn,Cologne,Germany,7.237,51.443,Germanwings,Germany,876
Manchester,Manchester,United Kingdom,-1.792,53.589,Koln Bonn,Cologne,Germany,7.237,51.443,Germanwings,Germany,655
Stansted,London,United Kingdom,0.391,52.475,Koln Bonn,Cologne,Germany,7.237,51.443,Germanwings,Germany,482
Stansted,London,United Kingdom,0.391,52.475,Hannover,Hannover,Germany,10.141,52.768,Germanwings,Germany,658
Stansted,London,United Kingdom,0.391,52.475,Stuttgart,Stuttgart,Germany,9.369,49.149,Germanwings,Germany,730
Gatwick,London,United Kingdom,0.349,51.246,Frankfurt Main,Frankfurt,Germany,8.905,50.044,Air Moldova,Moldova,617
Heathrow,London,United Kingdom,-0.103,51.795,Chhatrapati Shivaji Intl,Bombay,India,73.446,19.147,Jet Airways,India,7223
Heathrow,London,United Kingdom,-0.103,51.795,Indira Gandhi Intl,Delhi,India,77.171,28.944,Jet Airways,India,6675
Heathrow,London,United Kingdom,-0.103,51.795,Washington Dulles Intl,Washington,United States,-77.094,39.574,Jet Airways,India,5844
Heathrow,London,United Kingdom,-0.103,51.795,Los Angeles Intl,Los Angeles,United States,-118.014,34.57,Jet Airways,India,8675
Heathrow,London,United Kingdom,-0.103,51.795,Chicago Ohare Intl,Chicago,United States,-87.842,42.631,Jet Airways,India,6296
Heathrow,London,United Kingdom,-0.103,51.795,San Francisco Intl,San Francisco,United States,-121.959,38.031,Jet Airways,India,8548
Heathrow,London,United Kingdom,-0.103,51.795,Eleftherios Venizelos Intl,Athens,Greece,24.574,38.56,Aegean Airlines,Greece,2410
Heathrow,London,United Kingdom,-0.103,51.795,Larnaca,Larnaca,Cyprus,34.041,35.458,Aegean Airlines,Greece,3248
City,London,United Kingdom,0.092,51.842,Shannon,Shannon,Ireland,-8.875,53.169,American Airlines,United States,624
Gatwick,London,United Kingdom,0.349,51.246,Orlando Intl,Orlando,United States,-80.849,28.715,American Airlines,United States,6971
Gatwick,London,United Kingdom,0.349,51.246,Tampa Intl,Tampa,United States,-82.223,28.625,American Airlines,United States,7071
